ride ID,rider name,driver ID,promotion used?,wait time,ride duration,ride cost,revenue earned
3374.0,Linda Smith,4040.0,pre-trt,9.0,25.0,26.42,5.284000000000001
409.0,Robert Garrett,2774.0,pre-ctrl,11.0,20.0,16.28,3.2560000000000002
8896.0,Parker Kent,1224.0,pre-ctrl,3.0,26.0,36.29,7.258
9480.0,Michelle Logan,68.0,pre-trt,4.0,20.0,19.5,3.9
1416.0,Beverly Baker DVM,1832.0,pre-ctrl,9.0,22.0,26.8,5.36
4719.0,James Decker,4444.0,pre-ctrl,5.0,22.0,28.1,5.62
7823.0,Julie Carey,2396.0,pre-trt,6.0,19.0,21.06,4.212
5978.0,Morgan Melendez,4119.0,pre-ctrl,1.0,5.0,2.59,0.518
5152.0,Kyle Mcdonald,4434.0,pre-ctrl,3.0,26.0,38.17,7.634
9074.0,Barry Stephens,2400.0,pre-ctrl,5.0,5.0,3.92,0.784
1632.0,Michael Johnson,1031.0,pre-ctrl,8.0,13.0,11.14,2.228
6867.0,Donald Cruz,1385.0,pre-trt,11.0,17.0,15.22,3.044
1615.0,Joseph Watts,4312.0,pre-trt,6.0,14.0,11.0,2.2
1820.0,Edward Robinson,2619.0,pre-ctrl,11.0,28.0,14.59,2.918
3314.0,John Mcdonald,1021.0,pre-trt,1.0,15.0,5.96,1.192
4739.0,Candace Lee PhD,185.0,pre-trt,1.0,19.0,21.57,4.314
1824.0,Erika Brown,2120.0,pre-ctrl,8.0,27.0,37.0,7.4
7413.0,Joseph Davis,2475.0,pre-trt,6.0,28.0,31.72,6.343999999999999
7873.0,Ashley Davis,1095.0,pre-trt,7.0,10.0,3.82,0.764
6316.0,Matthew Jones,1289.0,pre-ctrl,9.0,26.0,32.36,6.4719999999999995
514.0,Ashley Torres,1465.0,pre-trt,7.0,29.0,22.06,4.412
5971.0,James Le,1521.0,pre-ctrl,10.0,8.0,5.87,1.174
1496.0,Charles Martin,734.0,pre-trt,9.0,26.0,31.56,6.311999999999999
937.0,Sandra Russell,2724.0,pre-trt,3.0,18.0,22.23,4.446
9635.0,Stephanie Rowe,1993.0,pre-ctrl,3.0,20.0,10.45,2.09
3077.0,Amanda Johnson,4287.0,pre-trt,8.0,18.0,18.92,3.7840000000000003
9837.0,Laura Nash,4158.0,pre-ctrl,3.0,15.0,12.72,2.544
4174.0,Thomas Villa,4037.0,pre-ctrl,10.0,25.0,33.99,6.798
573.0,William Johnston,3197.0,pre-trt,10.0,26.0,31.45,6.29
9213.0,Jimmy Marsh,2190.0,pre-ctrl,9.0,8.0,6.88,1.376
4010.0,Alexander Carter,3361.0,pre-trt,8.0,24.0,13.08,2.616
7918.0,Brian Peterson,2334.0,pre-trt,10.0,28.0,9.11,1.8219999999999998
4217.0,Darryl Medina,3144.0,pre-trt,3.0,6.0,3.62,0.724
6372.0,Shawn Gordon,4858.0,pre-trt,7.0,30.0,41.65,8.33
2924.0,Mark Sanders,1092.0,pre-ctrl,9.0,25.0,32.3,6.459999999999999
4057.0,Joseph Banks,1899.0,pre-ctrl,2.0,16.0,18.38,3.6759999999999997
2585.0,Ashley Howell,4686.0,pre-ctrl,2.0,10.0,9.6,1.92
5212.0,George Baker,3239.0,pre-ctrl,2.0,19.0,18.66,3.732
3314.0,Aaron Stokes,4492.0,pre-ctrl,2.0,29.0,7.04,1.408
5837.0,Thomas Young,2121.0,pre-trt,7.0,20.0,21.26,4.252000000000001
9253.0,Cynthia Gutierrez,3201.0,pre-ctrl,11.0,28.0,8.3,1.6600000000000001
7319.0,Megan Webb,4824.0,pre-trt,6.0,21.0,15.23,3.0460000000000003
7528.0,Jennifer Goodman,2433.0,pre-trt,8.0,8.0,10.61,2.122
5004.0,Craig Stone,4002.0,pre-trt,3.0,20.0,17.46,3.492
4789.0,Daniel Gray,648.0,pre-ctrl,4.0,12.0,11.67,2.334
6749.0,Haley Schmidt,4932.0,pre-trt,7.0,9.0,12.4,2.48
7158.0,Michael Kennedy,3604.0,pre-ctrl,10.0,24.0,13.11,2.622
6145.0,Albert Watson,1374.0,pre-trt,2.0,13.0,14.14,2.8280000000000003
6843.0,Cynthia Butler,651.0,pre-ctrl,4.0,22.0,21.02,4.204
312.0,Monique Hall,3890.0,pre-ctrl,8.0,13.0,13.69,2.738
9612.0,Michelle Byrd,4286.0,pre-ctrl,6.0,13.0,17.31,3.4619999999999997
1242.0,Christina Adams,4000.0,pre-trt,2.0,19.0,16.67,3.3340000000000005
2934.0,Karen King,752.0,pre-trt,3.0,13.0,15.02,3.004
4601.0,Caroline Mcclure,3178.0,pre-trt,1.0,23.0,16.19,3.2380000000000004
4981.0,Curtis Cross,3632.0,pre-ctrl,5.0,15.0,19.42,3.8840000000000003
5056.0,Christopher Martinez,3386.0,pre-ctrl,9.0,8.0,4.39,0.8779999999999999
170.0,Jose Branch,3587.0,pre-trt,5.0,25.0,12.27,2.4539999999999997
4670.0,Jacqueline Ball,2544.0,pre-trt,10.0,25.0,34.59,6.918000000000001
5779.0,Christine Lane,1915.0,pre-trt,7.0,22.0,16.28,3.2560000000000002
1407.0,Lawrence Ramos,2638.0,pre-ctrl,2.0,20.0,19.29,3.8579999999999997
561.0,Courtney Miller,942.0,pre-trt,2.0,14.0,14.93,2.9859999999999998
2426.0,Laura Pham MD,1910.0,pre-trt,2.0,21.0,24.34,4.868
9532.0,Richard Hernandez DDS,4965.0,pre-ctrl,10.0,11.0,8.12,1.6239999999999999
3701.0,Victoria Alexander,230.0,pre-trt,1.0,23.0,9.66,1.932
6284.0,Jason Vargas,3602.0,pre-ctrl,9.0,11.0,5.72,1.144
9472.0,Lindsey Pitts,3243.0,pre-trt,2.0,23.0,28.28,5.656000000000001
39.0,Brian Gomez,3813.0,pre-ctrl,1.0,17.0,19.61,3.9219999999999997
1155.0,Darrell Jordan,1594.0,pre-ctrl,10.0,22.0,21.51,4.3020000000000005
3582.0,Jacqueline Carter,2891.0,pre-trt,6.0,5.0,5.17,1.034
6289.0,Belinda Hall,1950.0,pre-trt,9.0,6.0,7.94,1.588
2222.0,Tyler Preston,2756.0,pre-ctrl,3.0,7.0,5.54,1.108
1738.0,Ms. Melissa Robbins,1260.0,pre-trt,11.0,23.0,9.67,1.934
8808.0,Michael Dean,2856.0,pre-trt,4.0,15.0,14.25,2.85
6550.0,Joseph Myers,86.0,pre-ctrl,8.0,14.0,11.02,2.2039999999999997
9481.0,Ricardo Johnson,1649.0,pre-ctrl,10.0,13.0,18.78,3.7560000000000002
2144.0,Candice Johnson,2807.0,pre-ctrl,7.0,13.0,6.41,1.282
4560.0,Rhonda Sutton,3246.0,pre-trt,7.0,8.0,4.64,0.9279999999999999
1149.0,Shawn Bowman,2521.0,pre-ctrl,7.0,13.0,16.33,3.2659999999999996
4540.0,Michael Juarez,3438.0,pre-ctrl,5.0,6.0,7.96,1.592
9464.0,Omar Nixon,3940.0,pre-ctrl,7.0,14.0,17.33,3.4659999999999997
6783.0,Donald Gregory,854.0,pre-trt,8.0,5.0,7.46,1.492
5363.0,Donna Vazquez,2742.0,pre-ctrl,6.0,28.0,26.43,5.286
519.0,Brianna Porter,4417.0,pre-ctrl,1.0,24.0,33.46,6.692
9083.0,Ashlee Smith MD,2239.0,pre-ctrl,2.0,15.0,11.57,2.314
5285.0,Jose Lane,4241.0,pre-trt,6.0,19.0,23.24,4.648
4093.0,Mallory Ellis,2098.0,pre-ctrl,2.0,27.0,15.78,3.1559999999999997
9698.0,Tara Hawkins,3519.0,pre-ctrl,9.0,16.0,15.04,3.008
6116.0,Nicole Elliott,2242.0,pre-trt,1.0,26.0,32.76,6.552
678.0,Kendra Morales,3653.0,pre-trt,2.0,14.0,14.0,2.8
1131.0,Carrie Hubbard,602.0,pre-trt,10.0,10.0,13.57,2.714
6369.0,Heather Campbell,3275.0,pre-ctrl,10.0,24.0,21.65,4.33
4833.0,Henry Rose,2567.0,pre-ctrl,10.0,17.0,13.62,2.7239999999999998
1856.0,Allen Sullivan,3311.0,pre-trt,3.0,26.0,17.51,3.5020000000000002
397.0,Jesse Reed,1127.0,pre-trt,11.0,9.0,8.83,1.766
3816.0,Steven Smith,1515.0,pre-ctrl,7.0,25.0,6.58,1.316
3505.0,Frederick Smith,1408.0,pre-ctrl,1.0,10.0,10.16,2.032
9970.0,Doris Ramos,1137.0,pre-trt,4.0,6.0,3.22,0.644
5920.0,Nathan Sharp,1634.0,pre-ctrl,5.0,25.0,31.62,6.324
594.0,Michelle Nicholson,1249.0,pre-ctrl,7.0,21.0,17.02,3.404
9999.0,Tracy David,4191.0,pre-ctrl,9.0,16.0,15.22,3.044
6669.0,Glen Webb,148.0,pre-trt,9.0,14.0,15.17,3.034
1944.0,Christine Gomez,4757.0,pre-ctrl,5.0,22.0,25.73,5.146
6129.0,Stanley Pace,3977.0,pre-ctrl,11.0,17.0,17.62,3.524
2276.0,Christian Allen,2861.0,pre-trt,5.0,20.0,10.52,2.104
1166.0,Deanna Meyer,4988.0,pre-ctrl,8.0,26.0,26.88,5.3759999999999994
5045.0,Angela Howard,1259.0,pre-ctrl,11.0,17.0,23.72,4.744
2936.0,Elizabeth Kim,4962.0,pre-trt,4.0,29.0,31.84,6.368
1589.0,Ariana Turner,3036.0,pre-ctrl,3.0,7.0,8.3,1.6600000000000001
978.0,Christopher Lopez,2002.0,pre-trt,11.0,19.0,15.37,3.074
6127.0,Cassandra Villanueva,3434.0,pre-trt,3.0,13.0,8.31,1.6620000000000001
5527.0,Marissa Edwards,3253.0,pre-ctrl,9.0,10.0,8.5,1.7
8765.0,Kathleen Shields,462.0,pre-ctrl,3.0,6.0,8.37,1.674
5676.0,Anne Wagner,2448.0,pre-ctrl,1.0,28.0,30.46,6.0920000000000005
1122.0,Rebecca Walter,1472.0,pre-ctrl,10.0,19.0,19.86,3.972
6489.0,Lauren Parsons,738.0,pre-trt,1.0,15.0,18.69,3.7380000000000004
5571.0,Connor Pineda,318.0,pre-trt,1.0,25.0,29.16,5.832
657.0,Mark Brewer,2114.0,pre-ctrl,6.0,24.0,7.12,1.424
4397.0,Randall Johnson,3385.0,pre-trt,2.0,5.0,2.77,0.554
8237.0,Michael Daniel,4346.0,pre-ctrl,7.0,20.0,14.89,2.978
7182.0,William Harris,3361.0,pre-trt,1.0,18.0,26.09,5.218
3464.0,Bradley Smith,1777.0,pre-trt,11.0,30.0,28.05,5.61
1888.0,Eric Hoffman,1419.0,pre-ctrl,10.0,10.0,2.32,0.46399999999999997
6224.0,James Cordova,1753.0,pre-trt,9.0,19.0,27.08,5.4159999999999995
2237.0,Julia Holloway,478.0,pre-trt,6.0,20.0,18.48,3.696
2845.0,Gary Benjamin,1851.0,pre-ctrl,2.0,10.0,14.82,2.964
9529.0,Timothy Serrano,464.0,pre-trt,2.0,13.0,15.97,3.194
6918.0,Michael Frost,4953.0,pre-trt,5.0,29.0,21.47,4.294
2674.0,Robert Williams,1449.0,pre-ctrl,5.0,30.0,34.87,6.973999999999999
8482.0,Miss Kimberly Powell MD,4218.0,pre-ctrl,7.0,25.0,17.49,3.4979999999999998
1785.0,Kenneth Lewis,138.0,pre-trt,10.0,9.0,13.3,2.66
4571.0,Kimberly Ford,2543.0,pre-trt,5.0,25.0,17.26,3.4520000000000004
6758.0,Jennifer Pitts MD,396.0,pre-trt,3.0,26.0,36.48,7.295999999999999
7299.0,Mark Robinson,2573.0,pre-ctrl,2.0,30.0,39.13,7.8260000000000005
7005.0,Shane Mclean,3081.0,pre-trt,1.0,8.0,8.69,1.738
450.0,Alex Pittman,3502.0,pre-trt,6.0,13.0,7.18,1.436
8110.0,Matthew Alvarez,155.0,pre-ctrl,5.0,15.0,11.29,2.258
2266.0,Kevin Martin,706.0,pre-trt,11.0,30.0,40.88,8.176
2590.0,Matthew Stone,1924.0,pre-ctrl,5.0,27.0,11.49,2.298
7281.0,Jessica Cook,911.0,pre-trt,5.0,27.0,27.15,5.43
6873.0,Crystal Pena,3090.0,pre-ctrl,3.0,26.0,13.92,2.784
7310.0,Katherine Brennan,1878.0,pre-ctrl,7.0,8.0,9.26,1.8519999999999999
3664.0,Connie Le,4891.0,pre-trt,1.0,25.0,17.06,3.412
9808.0,James Mckenzie,4663.0,pre-ctrl,5.0,14.0,8.01,1.6019999999999999
2016.0,Nancy Parker,963.0,pre-trt,8.0,14.0,9.01,1.802
2064.0,Mark Russo,1681.0,pre-trt,4.0,22.0,18.26,3.652
8422.0,Shawn Miller,344.0,pre-ctrl,10.0,19.0,22.36,4.4719999999999995
401.0,Alicia Valencia,768.0,pre-trt,11.0,21.0,17.4,3.4799999999999995
8324.0,Steve Johnston,4505.0,pre-ctrl,2.0,14.0,18.14,3.628
8590.0,Sonya Jones,885.0,pre-trt,10.0,21.0,23.47,4.694
8609.0,Andrew Rios,64.0,pre-trt,8.0,21.0,27.08,5.4159999999999995
2230.0,Jacob Nelson,4723.0,pre-trt,1.0,20.0,13.63,2.726
2005.0,Brittany Vazquez,483.0,pre-trt,6.0,5.0,7.28,1.456
2283.0,Samantha Anderson,3716.0,pre-trt,9.0,21.0,15.75,3.15
161.0,Robert Olson,4947.0,pre-trt,1.0,19.0,16.09,3.218
8121.0,Catherine Sandoval,4060.0,pre-trt,6.0,12.0,13.1,2.62
4903.0,Jeffrey Walsh,217.0,pre-ctrl,9.0,12.0,16.42,3.2840000000000003
9605.0,Alexandria Wright,829.0,pre-ctrl,3.0,27.0,21.98,4.396
8765.0,Sophia Oconnor,3029.0,pre-ctrl,3.0,25.0,15.68,3.136
9076.0,Mary Jones,3624.0,pre-trt,7.0,16.0,11.09,2.218
4898.0,Charles Bradford,917.0,pre-trt,7.0,15.0,17.39,3.478
495.0,Rhonda Jackson,1830.0,pre-ctrl,2.0,10.0,13.81,2.762
6823.0,Angela Stevens,3620.0,pre-trt,8.0,24.0,30.48,6.096
9811.0,Rachel Smith,1846.0,pre-trt,7.0,17.0,24.79,4.958
7219.0,Jessica Holmes,3472.0,pre-trt,3.0,16.0,18.28,3.656
293.0,Cathy Meyer,895.0,pre-trt,3.0,16.0,11.08,2.216
859.0,Mikayla Harris,1937.0,pre-trt,10.0,15.0,14.83,2.966
8184.0,Charles Watson,1719.0,pre-ctrl,10.0,6.0,3.85,0.77
2336.0,Toni Rodriguez,81.0,pre-ctrl,10.0,17.0,18.52,3.7039999999999997
1418.0,Jeremy Vaughan,1061.0,pre-trt,2.0,23.0,19.81,3.9619999999999997
5600.0,Diane Cook,2401.0,pre-trt,7.0,17.0,12.75,2.55
5154.0,Ronald Price,4629.0,pre-trt,8.0,27.0,26.02,5.204
1600.0,Lauren Martinez,3131.0,pre-trt,6.0,18.0,6.96,1.392
5545.0,Julie West,2234.0,pre-ctrl,7.0,30.0,36.63,7.3260000000000005
4145.0,Dr. Michael King,986.0,pre-ctrl,9.0,29.0,9.88,1.9760000000000002
9498.0,Tony Wood,3673.0,pre-trt,3.0,17.0,8.31,1.6620000000000001
5577.0,Douglas Peck,3832.0,pre-trt,5.0,10.0,8.43,1.686
5132.0,Cody Braun,3725.0,pre-ctrl,10.0,26.0,37.68,7.536
2554.0,Tina Bond,1792.0,pre-ctrl,6.0,29.0,28.62,5.724
3318.0,Kelli Goodwin,1818.0,pre-trt,7.0,25.0,26.64,5.328
5955.0,Danielle Thomas,4222.0,pre-ctrl,6.0,11.0,11.62,2.324
1284.0,Karen Perez,3645.0,pre-trt,9.0,11.0,15.93,3.186
6857.0,Robert Howard,905.0,pre-trt,7.0,10.0,9.02,1.8039999999999998
4668.0,Melissa Stewart,987.0,pre-ctrl,3.0,24.0,34.65,6.93
7439.0,Jennifer Allen,658.0,pre-ctrl,4.0,12.0,13.53,2.706
9463.0,Charles Castillo,1808.0,pre-trt,10.0,5.0,7.0,1.4
6376.0,Stephanie Robinson,1706.0,pre-trt,1.0,25.0,17.23,3.446
4681.0,Christine Ramirez,1986.0,pre-ctrl,5.0,9.0,10.26,2.052
444.0,Daniel Rangel,1426.0,pre-ctrl,4.0,17.0,15.48,3.096
9085.0,Kara Allen,1672.0,pre-trt,2.0,16.0,17.43,3.4859999999999998
9324.0,Rodney Vargas,4222.0,pre-ctrl,5.0,24.0,24.11,4.822
9170.0,Jennifer Sanford,1276.0,pre-ctrl,4.0,7.0,8.19,1.638
8511.0,Christina Hernandez,3603.0,pre-ctrl,3.0,24.0,28.59,5.718
351.0,Tyler Welch,1643.0,pre-ctrl,10.0,22.0,29.89,5.978
8630.0,Kevin Bowman,1155.0,pre-ctrl,7.0,30.0,12.23,2.446
2009.0,Steven Blair,1735.0,pre-trt,8.0,16.0,19.5,3.9
1074.0,Tina Booker,2040.0,pre-ctrl,7.0,8.0,9.42,1.884
8992.0,Eileen Rice,2072.0,pre-trt,2.0,13.0,1.56,0.312
2300.0,Andrea Alvarez,211.0,pre-trt,6.0,14.0,6.06,1.212
8062.0,Kristy Yates,2406.0,pre-trt,4.0,23.0,29.19,5.838
1608.0,Tina Myers,3901.0,pre-ctrl,6.0,13.0,15.54,3.1079999999999997
9208.0,Carol Johnston,2547.0,pre-ctrl,11.0,21.0,26.34,5.268
8455.0,Brian Beck,2359.0,pre-ctrl,3.0,27.0,19.74,3.9479999999999995
3238.0,Jacob Payne,4143.0,pre-ctrl,7.0,27.0,14.84,2.968
1992.0,Derek Sweeney,3944.0,pre-ctrl,2.0,6.0,7.5,1.5
1206.0,David Diaz,4326.0,pre-trt,8.0,12.0,10.69,2.138
2296.0,Amanda Orr,3613.0,pre-ctrl,2.0,6.0,8.53,1.706
1422.0,Veronica Acosta,3172.0,pre-trt,9.0,14.0,6.0,1.2
4858.0,Alexander Gonzalez,3639.0,pre-ctrl,2.0,27.0,23.33,4.6659999999999995
5908.0,Mary Chavez,3500.0,pre-ctrl,10.0,24.0,26.02,5.204
461.0,Jason Randall,4400.0,pre-trt,8.0,21.0,28.7,5.74
1364.0,Michael Murphy,3656.0,pre-trt,5.0,11.0,3.95,0.79
1198.0,Dawn Dunn,1633.0,pre-trt,2.0,26.0,37.34,7.468000000000001
3689.0,Sarah Allen,632.0,pre-trt,9.0,11.0,11.66,2.332
7057.0,Kyle Melendez,3417.0,pre-trt,3.0,11.0,11.96,2.3920000000000003
3919.0,Barbara Miller,4912.0,pre-ctrl,10.0,16.0,22.2,4.4399999999999995
4652.0,Paula Andersen,2405.0,pre-ctrl,1.0,25.0,31.63,6.326
553.0,Casey Silva,1734.0,pre-trt,1.0,9.0,1.58,0.316
1193.0,Rachel Brown,3272.0,pre-ctrl,1.0,23.0,13.58,2.716
8070.0,Cynthia Jackson,4651.0,pre-trt,9.0,10.0,1.45,0.29
3741.0,Anne Olson,4013.0,pre-ctrl,7.0,14.0,15.36,3.072
4740.0,Brian Moore,1182.0,pre-ctrl,4.0,12.0,8.14,1.6280000000000001
7609.0,Bobby Mack,1826.0,pre-ctrl,6.0,20.0,24.86,4.9719999999999995
1660.0,Donna Hernandez,1202.0,pre-trt,9.0,12.0,11.56,2.3120000000000003
3656.0,Johnny Evans,2329.0,pre-ctrl,11.0,21.0,22.23,4.446
7305.0,Ashley Singleton,2708.0,pre-ctrl,5.0,14.0,5.28,1.056
6744.0,Megan Mata,4823.0,pre-trt,8.0,25.0,8.72,1.7440000000000002
6450.0,Joan Martin,2421.0,pre-ctrl,5.0,13.0,8.18,1.636
5139.0,Jesse Cline,2233.0,pre-trt,1.0,26.0,37.26,7.452
742.0,Gregory Barron,286.0,pre-trt,2.0,21.0,12.95,2.59
6349.0,Breanna Thomas,372.0,pre-trt,5.0,18.0,14.62,2.924
1341.0,Susan Brooks,4395.0,pre-ctrl,2.0,20.0,20.34,4.068
6717.0,Andrew Sanders,4672.0,pre-trt,9.0,10.0,14.24,2.848
1467.0,Donna Weber,4632.0,pre-trt,4.0,27.0,6.18,1.236
7532.0,Robert Rodgers,4815.0,pre-trt,10.0,30.0,22.08,4.4159999999999995
